,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
1,101,47178,747,665,971,506,442,0.55,0.65,0.22,0.2,0.7,707,0.51,0.82,0.27,0.08,0.6,0.24,0.42,2,NA,0.82,0.65,0.08,0.2,0.7,10100,2
2,102.01,41762,"1,297",822,"1,011",633,350,0.5,0.44,0.37,0.45,0.78,"1,140",0.38,0.71,0.4,0.35,0.44,0.43,0.4517,2,NA,0.71,0.44,0.35,0.45,0.78,10201,2
3,102.02,59544,733,401,414,263,150,0.47,0.37,0.29,0.45,0.74,394,0.74,0.59,0.52,0.18,0.44,0.31,0.4637,3,NA,0.59,0.37,0.18,0.45,0.74,10202,3
4,103,46054,"1,019",774,"1,147","1,003",751,0.59,0.41,0.33,0.28,0.73,572,0.48,0.87,0.44,0.27,0.55,0.3,0.4863,3,NA,0.87,0.41,0.27,0.28,0.73,10300,3
5,104,54686,423,276,632,666,664,0.67,0.35,0.26,0.38,0.8,259,0.68,0.95,0.55,0.13,0.49,0.54,0.554,3,NA,0.95,0.35,0.13,0.38,0.8,10400,3
6,105.01,20074,561,613,714,679,444,0.59,0.43,0.21,0.4,0.79,326,0.04,0.87,0.41,0.07,0.48,0.48,0.3909,2,NA,0.87,0.43,0.07,0.4,0.79,10501,2
7,105.02,36678,388,424,493,470,308,0.59,0.36,0.22,0.4,0.81,181,0.25,0.87,0.54,0.08,0.48,0.58,0.4652,3,NA,0.87,0.36,0.08,0.4,0.81,10502,3
8,105.03,62748,289,315,368,350,229,0.59,0.34,0.16,0.4,0.8,82,0.79,0.87,0.58,0.04,0.48,0.54,0.5485,3,NA,0.87,0.34,0.04,0.4,0.8,10503,3
9,106,52987,913,746,915,"1,061",670,0.59,0.38,0.33,0.4,0.8,581,0.64,0.87,0.49,0.27,0.48,0.54,0.548,3,NA,0.87,0.38,0.27,0.4,0.8,10600,3
10,107.01,49142,488,672,595,474,358,0.56,0.32,0.46,0.54,0.86,635,0.55,0.84,0.62,0.55,0.37,0.81,0.624,3,NA,0.84,0.32,0.55,0.54,0.86,10701,3
11,107.02,32380,"1,285",778,513,399,210,0.44,0.35,0.3,0.54,0.8,851,0.18,0.48,0.55,0.21,0.37,0.54,0.3879,2,NA,0.48,0.35,0.21,0.54,0.8,10702,2
12,201,52680,424,520,779,586,330,0.59,0.39,0.46,0.47,0.86,694,0.63,0.87,0.47,0.55,0.42,0.81,0.6251,3,NA,0.87,0.39,0.55,0.47,0.86,20100,3
13,202,65560,502,811,"1,038","1,158",790,0.64,0.16,0.77,0.45,0.88,"1,392",0.82,0.93,0.94,0.88,0.44,0.88,0.8167,4,NA,0.93,0.16,0.88,0.45,0.88,20200,4
14,203.01,53278,426,663,818,728,552,0.62,0.13,0.79,0.4,0.82,878,0.64,0.91,0.98,0.91,0.48,0.63,0.7565,4,NA,0.91,0.13,0.91,0.4,0.82,20301,4
15,203.02,72162,498,590,577,828,740,0.64,0.25,0.59,0.4,0.87,767,0.89,0.93,0.8,0.74,0.48,0.86,0.7814,4,NA,0.93,0.25,0.74,0.4,0.87,20302,4
16,204,61641,464,621,589,813,379,0.6,0.25,0.52,0.42,0.86,727,0.77,0.9,0.8,0.64,0.46,0.81,0.7326,4,NA,0.9,0.25,0.64,0.42,0.86,20400,4
17,205,44210,"1,103",752,920,816,463,0.54,0.3,0.32,0.73,0.85,"1,116",0.44,0.79,0.69,0.24,0.2,0.78,0.525,3,NA,0.79,0.3,0.24,0.73,0.85,20500,3
18,206.01,42398,733,744,900,"1,023",480,0.59,0.18,0.39,0.58,0.83,"1,247",0.39,0.87,0.93,0.41,0.34,0.7,0.608,3,NA,0.87,0.18,0.41,0.58,0.83,20601,3
19,206.02,64867,568,587,709,602,369,0.57,0.21,0.46,0.58,0.85,778,0.8,0.86,0.89,0.55,0.34,0.78,0.7016,4,NA,0.86,0.21,0.55,0.58,0.85,20602,4
20,207.01,58683,140,267,344,286,207,0.62,0.2,0.64,0.66,0.89,284,0.73,0.91,0.9,0.78,0.26,0.91,0.7498,4,NA,0.91,0.2,0.78,0.66,0.89,20701,4
21,207.02,57853,988,"1,318","1,028",912,469,0.54,0.23,0.4,0.66,0.84,"1,245",0.72,0.79,0.85,0.44,0.26,0.75,0.6347,4,NA,0.79,0.23,0.44,0.66,0.84,20702,4
22,208.01,52673,768,786,871,852,458,0.57,0.32,0.43,0.66,0.89,856,0.62,0.86,0.62,0.5,0.26,0.91,0.6295,3,NA,0.86,0.32,0.5,0.66,0.89,20801,3
23,208.02,51632,"1,019","1,016",982,964,453,0.55,0.27,0.35,0.66,0.86,"1,276",0.6,0.82,0.77,0.31,0.26,0.81,0.5966,3,NA,0.82,0.27,0.31,0.66,0.86,20802,3
24,209.01,40310,941,806,668,673,292,0.52,0.35,0.37,0.68,0.87,936,0.35,0.76,0.55,0.35,0.24,0.86,0.518,3,NA,0.76,0.35,0.35,0.68,0.87,20901,3
25,209.02,45065,628,981,690,498,244,0.52,0.24,0.57,0.68,0.87,592,0.46,0.76,0.83,0.71,0.24,0.86,0.6433,4,NA,0.76,0.24,0.71,0.68,0.87,20902,4
26,301.01,68869,496,469,720,804,520,0.63,0.37,0.37,0.48,0.86,273,0.86,0.92,0.52,0.35,0.42,0.81,0.6462,4,NA,0.92,0.37,0.35,0.48,0.86,30101,4
27,301.02,69903,344,457,702,614,410,0.62,0.31,0.43,0.48,0.86,171,0.87,0.91,0.65,0.5,0.42,0.81,0.6946,4,NA,0.91,0.31,0.5,0.48,0.86,30102,4
28,301.03,21731,135,206,372,327,174,0.63,0.19,0.27,0.48,0.86,49,0.05,0.92,0.92,0.14,0.42,0.81,0.543,3,NA,0.92,0.19,0.14,0.48,0.86,30103,3
29,301.04,44807,140,220,426,437,313,0.67,0.29,0.35,0.48,0.86,112,0.45,0.95,0.71,0.31,0.42,0.81,0.6097,3,NA,0.95,0.29,0.31,0.48,0.86,30104,3
30,302,65588,393,650,753,"1,268",907,0.68,0.24,0.5,0.3,0.87,583,0.82,0.95,0.83,0.62,0.54,0.86,0.7679,4,NA,0.95,0.24,0.62,0.3,0.87,30200,4
31,303,71235,608,594,489,434,188,0.51,0.32,0.32,0.58,0.87,463,0.88,0.73,0.62,0.24,0.34,0.86,0.6124,3,NA,0.73,0.32,0.24,0.58,0.87,30300,3
32,304,65622,407,404,408,543,218,0.58,0.34,0.41,0.58,0.86,308,0.82,0.87,0.58,0.46,0.34,0.81,0.6457,4,NA,0.87,0.34,0.46,0.58,0.86,30400,4
33,305,58625,"1,055",920,"1,107","1,095",691,0.58,0.28,0.4,0.46,0.86,577,0.73,0.87,0.74,0.44,0.43,0.81,0.6693,4,NA,0.87,0.28,0.44,0.46,0.86,30500,4
34,306.01,48582,516,745,729,694,459,0.59,0.4,0.37,0.46,0.86,286,0.53,0.87,0.46,0.35,0.43,0.81,0.5766,3,NA,0.87,0.4,0.35,0.46,0.86,30601,3
35,306.03,24621,343,330,404,314,210,0.56,0.35,0.09,0.46,0.86,156,0.07,0.84,0.55,0.01,0.43,0.81,0.4525,2,NA,0.84,0.35,0.01,0.46,0.86,30603,2
36,306.04,43613,476,509,569,536,373,0.59,0.29,0.28,0.46,0.86,136,0.42,0.87,0.71,0.15,0.43,0.81,0.5678,3,NA,0.87,0.29,0.15,0.46,0.86,30604,3
37,307.01,58885,272,180,370,240,166,0.58,0.46,0.19,0.41,0.85,83,0.73,0.87,0.39,0.05,0.47,0.78,0.5477,3,NA,0.87,0.46,0.05,0.41,0.85,30701,3
38,307.02,40370,126,268,331,363,301,0.66,0.32,0.62,0.41,0.85,64,0.35,0.94,0.62,0.76,0.47,0.78,0.654,4,NA,0.94,0.32,0.76,0.41,0.85,30702,4
39,307.03,21070,413,390,599,526,405,0.61,0.38,0.28,0.41,0.85,151,0.04,0.91,0.49,0.15,0.47,0.78,0.4724,3,NA,0.91,0.38,0.15,0.41,0.85,30703,3
